id,Color,SKU,Nombre,Publicado,Descripción,main-features,mode-use-outfit,mode-use-size,mode-use-style,tech-description,users-guide,Inventario,Precio normal,Precio rebajado,Categorías,Etiquetas,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo 1
,variation,reloj-l1011-5,L1011-5,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.

","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-5-referencia, 
l1011-5-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con Dorado tablero Negro
,variation,reloj-l1011-6,L1011-6,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.

","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-6-referencia, 
l1011-6-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con Oro Rosa tablero Blanco
,variation,reloj-l1011-7,L1011-7,0,"Reloj Loix pulso en acero 32 mm, segundero lateral y movimiento japonés.

Los cimientos de un edificio son lo más importante, al igual que tu  reputación en los negocios. Acompaña tu éxito con este Loix con pulso  totalmente en acero  de máxima resistencia.

 No estas para improvisar, toma el control de tu camino.

","caja-32,
caja-alloy,
3atm",Casual-Formal,Grande,Clásico,"Movimiento OT45


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundero lateral y fecha

Batería: SR927W

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"204.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1011-7-referencia, 
l1011-7-montaje, 
l1011-video,
caja-32,
caja-alloy,
3atm",Color,Color,Plateado con Oro Rosa tablero Negro
,variable,l1029-1,L1029-1,1,"Reloj Loix, pulso completamente en acero, 32 mm y  movimiento Japonés.

Hay muchas formas de decir quién eres. 

Un Loix que le va bien a una mujer que sabe que en los detalles más sutiles esta la máxima elegancia. Pulso completamente en acero y tablero con sistema de calendario. 

Marca tu propia tendencia.
","caja-32,
date,
3atm",Casual-Formal,Grande,Clásico,"

Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

",manual-loix,,"150.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1029-1-referencia, 
l1029-1-montaje, 
l1029-video,
caja-32,
date,
3atm",Color,Color,"Dorado, Oro Rosa, Plateado con tablero Azul, Plateado con tablero Blanco"
,variation,l1029-2,l1029-2,1,"Reloj Loix, pulso completamente en acero, 32 mm y  movimiento Japonés.

Hay muchas formas de decir quién eres. 

Un Loix que le va bien a una mujer que sabe que en los detalles más sutiles esta la máxima elegancia. Pulso completamente en acero y tablero con sistema de calendario. 

Marca tu propia tendencia.","caja-32,
date,
3atm",Casual-Formal,Grande,Clásico,"
Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

",manual-loix,,"150.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1029-2-referencia, 
l1029-2-montaje, 
l1029-video,
caja-32,
date,
3atm",Color,Color,Oro Rosa
,variation,l1029-4,L1029-4,1,"Reloj Loix, pulso completamente en acero, 32 mm y  movimiento Japonés.

Hay muchas formas de decir quién eres. 

Un Loix que le va bien a una mujer que sabe que en los detalles más sutiles esta la máxima elegancia. Pulso completamente en acero y tablero con sistema de calendario. 

Marca tu propia tendencia.","caja-32,
date,
3atm",Casual-Formal,Grande,Clásico,"
Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)


",manual-loix,,"150.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1029-4-referencia,
l1029-4-montaje, 
l1029-video,
caja-32,
date,
3atm",Color,Color,Plateado con tablero Azul
,variation,l1029-5,L1029-5,1,"Reloj Loix, pulso completamente en acero, 32 mm y  movimiento Japonés.

Hay muchas formas de decir quién eres. 

Un Loix que le va bien a una mujer que sabe que en los detalles más sutiles esta la máxima elegancia. Pulso completamente en acero y tablero con sistema de calendario. 

Marca tu propia tendencia.","caja-32,
date,
3atm",Casual-Formal,Grande,Clásico,"
Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

",manual-loix,,"150.000,00",,Women > essentials > classics,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas, relojes esenciales","l1029-5-referencia, 
l1029-5-montaje, 
l1029-video,
caja-32,
date,
3atm",Color,Color,Plateado con tablero Blanco
,variable,reloj-l1104-1,L1104-1,1,"Reloj Loix, pulso silicona de máxima resistencia, 40 mm y movimiento Japonés.

Ser  autentica es tu súper poder.

 Un Loix con pulso deportivo y escafandra con diseño, ideal para las  amantes de la moda ya que cuenta con un estilo casual y relajado.

 ¡Siéntete libre de  ser tu misma!
","caja-40,
date,
3atm",Casual-Formal,Grande,Deportivo,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"130.000,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1104-1-referencia, 
l1104-1-montaje, 
l1104-video,
caja-40,
date,
3atm",Color,Color,"Verde, Gris, Rosado"
,variation,reloj-l1104-3,L1104-3,1,"Reloj Loix, pulso silicona de máxima resistencia, 40 mm y movimiento Japonés.

Ser  autentica es tu súper poder.

 Un Loix con pulso deportivo y escafandra con diseño, ideal para las  amantes de la moda ya que cuenta con un estilo casual y relajado.

 ¡Siéntete libre de  ser tu misma!
","caja-40,
date,
3atm",Casual-Formal,Grande,Deportivo,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"130.000,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1104-3-referencia, 
l1104-3-montaje, 
l1104-video,
caja-40,
date,
3atm",Color,Color,Gris
,variation,reloj-l1104-4,L1104-4,1,"Reloj Loix, pulso silicona de máxima resistencia, 40 mm y movimiento Japonés.

Ser  autentica es tu súper poder.

 Un Loix con pulso deportivo y escafandra con diseño, ideal para las  amantes de la moda ya que cuenta con un estilo casual y relajado.

 ¡Siéntete libre de  ser tu misma!
","caja-40,
date,
3atm",Casual-Formal,Grande,Deportivo,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"130.000,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1104-4-referencia, 
l1104-4-montaje, 
l1104-video,
caja-40,
date,
3atm",Color,Color,Rosado
,variable,reloj-l117-1,L1117-1,1,"Reloj Loix, pulso en acero 30 mm movimiento japonés.

Que tus sueños te conduzcan a destinos hermosos.

Un Loix con todas las cualidades que siempre quisiste, pulso en acero y diseño que se acomoda a tus exigencias diarias, puedes combinarlo con todo y siempre hará que destaques. 

¡Es hora de despegar luciendo siempre hermosa!
","caja-30,
date,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"150.000,00",,Women > essentials > trend,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew","l1117-1-referencia, 
l1117-1-montaje, 
l1117-video,
caja-30,
date,
3atm",Color,Color,"Dorado, Oro Rosa, Plateado con Oro Rosa, Plateado con Dorado"
,variation,reloj-l1117-2,L1117-2,1,"Reloj Loix, pulso en acero 30 mm movimiento japonés.

Que tus sueños te conduzcan a destinos hermosos.

Un Loix con todas las cualidades que siempre quisiste, pulso en acero y diseño que se acomoda a tus exigencias diarias, puedes combinarlo con todo y siempre hará que destaques. 

¡Es hora de despegar luciendo siempre hermosa!
","caja-30,
date,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"150.000,00",,Women > essentials > trend,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew","l1117-2-referencia, 
l1117-2-montaje, 
l1117-video,
caja-30,
date,
3atm",Color,Color,Oro Rosa
,variation,reloj-l1117-3,L1117-3,1,"Reloj Loix, pulso en acero 30 mm movimiento japonés. 

Que tus sueños te conduzcan a destinos hermosos.

Un Loix con todas las cualidades que siempre quisiste, pulso en acero y diseño que se acomoda a tus exigencias diarias, puedes combinarlo con todo y siempre hará que destaques. 

¡Es hora de despegar luciendo siempre hermosa!
","caja-30,
date,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"150.000,00",,Women > essentials > trend,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew","l1117-3-referencia, 
l1117-3-montaje, 
l1117-video,
caja-30,
date,
3atm",Color,Color,Plateado con Oro Rosa
,variation,reloj-l117-4,L1117-4,1,"Reloj Loix, pulso en acero 30 mm movimiento japonés.

Que tus sueños te conduzcan a destinos hermosos.

Un Loix con todas las cualidades que siempre quisiste, pulso en acero y diseño que se acomoda a tus exigencias diarias, puedes combinarlo con todo y siempre hará que destaques. 

¡Es hora de despegar luciendo siempre hermosa!
","caja-30,
date,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento GN10


Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, segundos y calendario

Batería: SR621SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)
",manual-loix,,"187.490,00",,Women > essentials > trend,"reloj dama, essentials, classics, fashion, watches, luxury, joyas, jew mujeres clasicas","l1117-4-referencia 
l1117-4-montaje 
l1117-video
caja-30
date
3atm",Color,Color,Plateado con Dorado
,variable,reloj-l1150-1,L1150-1,1,"
Reloj Loix dama, pulso en acero 34 mm y maquinaria japonesa.

 Camina confiada y llena de seguridad.

 Un Loix que con su innovador diseño, te brinda la seguridad de saber que llevas contigo una pieza única, gracias a la sutileza de sus piedras al rededor del tablero y bellos detalles en el interior.

¡Déjate guiar por lo auténtico!
","caja-30,
caja-alloy,
date",Casual-Formal,Mediano,Fashion,"Movimiento Miyota 2115

Exactitud: ± 20 segundos por mes

Funciones: Horas, minutos, segundos y calendario

Batería: 395/SR927SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)",manual-loix,113750,"162.500,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1150-1-referencia, 
l1150-1-montaje, 
l1150-video,
caja-30,
caja-alloy,
date",Color,Color,"Plateado, Plateado con Oro Rosa"
,variation,reloj-l1150-3,L1150-3,1,"
Reloj Loix dama, pulso en acero 34 mm y maquinaria japonesa.

 Camina confiada y llena de seguridad.

 Un Loix que con su innovador diseño, te brinda la seguridad de saber que llevas contigo una pieza única, gracias a la sutileza de sus piedras al rededor del tablero y bellos detalles en el interior.

¡Déjate guiar por lo auténtico!
","caja-30,
caja-alloy,
date",Casual-Formal,Mediano,Fashion,"Movimiento Miyota 2115

Exactitud: ± 20 segundos por mes

Funciones: Horas, minutos, segundos y calendario

Batería: 395/SR927SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)",manual-loix,113750,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1150-3-referencia, 
l1150-3-montaje, 
l1150-video,
caja-30,
caja-alloy,
date",Color,Color,Plateado con Oro Rosa
,variable,reloj-l1154-1,L1154-1,0,"Reloj Loix dama, pulso en acero 30 mm y movimiento Japonés.

El estilo comienza cuando decides ser autentica y rodearte de detalles únicos, como los de este Loix con pulso en acero y delicados apliques al interior del tablero. 

¡A dónde vayas deja tu huella!
","caja-30,
caja-alloy,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento Miyota 2115

Exactitud: ± 20 segundos por mes

Funciones: Horas, minutos, segundos y calendario

Batería: 395/SR927SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)",manual-loix,,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1154-1-referencia, 
l1154-1-montaje, 
l1154-video,
caja-30,
caja-alloy,
3atm",Color,Color,"Dorado, Plateado con tablero Blanco, Plateado con tablero Gris, Azul, Gris Oscuro"
,variation,reloj-l1154-2,L1154-2,0,"Reloj Loix dama, pulso en acero 30 mm y movimiento Japonés.

El estilo comienza cuando decides ser autentica y rodearte de detalles únicos, como los de este Loix con pulso en acero y delicados apliques al interior del tablero. 

¡A dónde vayas deja tu huella!
","caja-30,
caja-alloy,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento 2015
        
Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, seg y calendario

Batería: SR626SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1154-2-referencia, 
l1154-2-montaje, 
l1154-video,
caja-30,
caja-alloy,
3atm",Color,Color,Plateado con tablero Blanco
,variation,reloj-l1154-3,L1154-3,0,"Reloj Loix dama, pulso en acero 30 mm y movimiento Japonés.

El estilo comienza cuando decides ser autentica y rodearte de detalles únicos, como los de este Loix con pulso en acero y delicados apliques al interior del tablero. 

¡A dónde vayas deja tu huella!","caja-30,
caja-alloy,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento 2015
        
Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, seg y calendario

Batería: SR626SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año
",manual-loix,,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1154-3-referencia, 
l1154-3-montaje, 
l1154-video,
caja-30,
caja-alloy,
3atm",Color,Color,Plateado con tablero Gris
,variation,reloj-l1154-4,L1154-4,0,"Reloj Loix dama, pulso en acero 30 mm y movimiento Japonés.

El estilo comienza cuando decides ser autentica y rodearte de detalles únicos, como los de este Loix con pulso en acero y delicados apliques al interior del tablero. 

¡A dónde vayas deja tu huella!","caja-30,
caja-alloy,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento 2015
	
Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, seg y calendario

Batería: SR626SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año",manual-loix,,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1154-4-referencia, 
l1154-4-montaje, 
l1154-video,
caja-30,
caja-alloy,
3atm",Color,Color,Azul
,variation,reloj-l1154-5,L1154-5,0,"Reloj Loix dama, pulso en acero 30 mm y movimiento Japonés.

El estilo comienza cuando decides ser autentica y rodearte de detalles únicos, como los de este Loix con pulso en acero y delicados apliques al interior del tablero. 

¡A dónde vayas deja tu huella!","caja-30,
caja-alloy,
3atm",Casual-Formal,Mediano,Fashion,"Movimiento 2015
	
Exactitud: ± 20 segundos por mes

Funciones: Hora, minutos, seg y calendario

Batería: SR626SW

Resistencia al agua: Hasta una presión de 3 Atmósferas (3 /ATM)

Garantía: Un año",manual-loix,,"162.490,00",,Women > essentials > trend,"reloj dama, essentials, trend, fashion, watches, luxury, joyas, jew, tendencias en moda","l1154-5-referencia, 
l1154-5-montaje, 
l1154-video,
caja-30,
caja-alloy,
3atm,",Color,Color,Gris Oscuro
